# ChooseHextech 套路数据（社区用户套路 data/userjson + 每英雄 1 条常规兜底）
# 生成：collect/scripts/userjson-merge.mts，2026-08-15
# 格式：英雄  套路名  海克斯推荐  装备推荐  对局技巧  作者  适用版本
英雄	套路名	海克斯推荐	装备推荐	对局技巧	作者	适用版本
卡萨丁	半肉法坦流	术士果汁盒、由心及物、最终形态、神射法师、牙仙子、杀戮时间到了、暗影疾奔、超凡邪恶	爆裂魔杖、复用型药水、女神之泪、时光之杖、法师之靴、大天使之杖、莫雷洛秘典、星界驱驰	星界驱驰提供移速，R跳进跳出持续拉扯输出。；莫雷洛秘典靠E的范围伤害挂重伤压制回血。	社区采集	26.16
米利欧	法术治疗护盾流	急救用具、咏叹奏鸣、全心为你、灵魄炸弹、天音爆、喂呜喂呜、信念者的强化、尤里卡	生命药水、女神之泪、班德尔玻璃镜、月石再生器、明朗之靴、耳语头环、莫雷洛秘典、灭世者的死亡之帽	W篝火放在后排脚下持续回血，E护盾给突进位加速。；R解控在敌方强开时交，救回被控的核心队友。；月石配合EW频繁刷治疗，站位靠后保护双C。	社区采集	26.16
泰达米尔	暴击攻速流	罪恶快感、升级：无尽之刃、大力、无尽大杀四方、渴血、双刀流、重量级打击手、质变：棱彩阶	短剑、狂战士胫甲、破败王者之刃、幻影之舞、水银弯刀、饮血剑、多米尼克领主的致意、凡性的提醒	E技能暴击可减CD，转进人群连续追击残血。；破败与多米尼克打前排极快，先处理贴脸的坦克。	社区采集	26.16
布里茨	坦克流	吞噬灵魂、大法师、纯粹主义者 - 术师、由心及物、急速之追求、扇巴掌、尤里卡、精怪魔法	巨人腰带、女神之泪、心之钢、水银之靴、凛冬之临、灭世者的死亡之帽、风暴狂涌、兰顿之兆	Q钩到后排立即E击飞接R沉默，一套控制交给队友。；凛冬之临靠Q钩控触发护盾，进场更抗打。；R范围沉默可打断敌方关键技能，留到团战核心时机。	社区采集	26.16
卡尔玛	法术治疗护盾流	尤里卡、急救用具、全心为你、咏叹奏鸣、大法师、超凡邪恶、灵魄炸弹、天音爆	女神之泪、班德尔玻璃镜、月石再生器、明朗之靴、耳语头环、深渊面具、虚空之杖、冰霜之心	R强化E给全队套盾加速，月石配合持续回血。；W链住突进位留人，深渊面具减魔抗让队友输出。	社区采集	26.16
娜美	法术治疗护盾流	急救用具、咏叹奏鸣、全心为你、天音爆、喂呜喂呜、灵魄炸弹、信念者的强化、神圣干预	生命药水、女神之泪、班德尔玻璃镜、月石再生器、明朗之靴、耳语头环、中娅沙漏、灭世者的死亡之帽	站前排身后，用W在己方和敌方之间弹跳，同时触发月石再生器连锁治疗。；给开火主力套E强化普攻，再跟W叠加耳语头环层数打出额外伤害。；Q水泡留作反手，敌方突进时预判落脚点放Q，R沿直线斜放大范围控场。	社区采集	26.16
奈德丽	法术流	珠光护手、老练狙神、巫师式思考、魔法飞弹、尤里卡、牙仙子、纯粹主义者 - 术师、术士果汁盒	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、女妖面纱、中娅沙漏、虚空之杖	人形态远处Q标枪命中残血，风暴狂涌爆发带走，再切豹形态撤离。；Q命中脆皮后立刻变豹扑上，W+Q收头，虚空之杖穿透魔抗补伤害。；保持距离用标枪消耗，女妖面纱挡先手控制，中娅沙漏规避集火。	社区采集	26.16
德莱厄斯	战士半肉流	旋转至胜、炽燃利息、最终形态、黎明使者的坚决、重量级打击手、大力、泰坦的坚决、渴血	鞋子、净蚀、三相之力、水银之靴、焚天、千变者贾修、水银弯刀、冰霜之心	用Q外圈刮中多人叠流血，再接普攻触发三相之力和焚天的强化伤害。；叠满五层被动进入血怒后，开R斩残血刷新大招继续收割。；团战先E拉回一人集火，贾修叠满后站场回血反打。	社区采集	26.16
乌迪尔	法术流	炽燃利息、杀戮时间到了、最终形态、牙仙子、渴血、利刃华尔兹、心灵净化、藏身草丛	复用型药水、遗失的章节、残疫、法师之靴、兰德里的折磨、虚空之杖、女妖面纱、蜕生	觉醒R召唤风暴持续灼烧，配合兰德里的折磨叠满持续伤害。；用E熊扑晕敌人后再开觉醒R，把范围伤害打满。；R风暴配合残疫灼烧区域压制血线，女妖面纱挡先手控制。	社区采集	26.16
奥莉安娜	法术流	尤里卡、术士果汁盒、魔法飞弹、超凡邪恶、巫师式思考、升级：中娅、无限循环往复、纯粹主义者 - 术师	复用型药水、遗失的章节、卢登的回声、法师之靴、影焰、女妖面纱、虚空之杖、中娅沙漏	把球E挂给突进队友，待其进场后R拉拢敌方多人接W爆发。；团战前用Q把球放在人群中心，伺机R打出群体控制与伤害。；中娅沙漏规避集火，女妖面纱挡一次关键先手控制。	社区采集	26.16
佛耶戈	暴击流	牙仙子、最终形态、升级：无尽之刃、升级：收集者、罪恶快感、大力、渴血、暗影疾奔	复用型药水、缚炉之斧、海妖杀手、水银之靴、收集者、水银弯刀、兰顿之兆、饮血剑	集火把残血打进收集者斩杀线，捡魂变身后用目标技能继续收割。；海妖杀手每三下普攻补爆发，W蓄满突进留人再接Q。；击杀后立即变魂回血，再R追击下一个残血目标。	社区采集	26.16
孙悟空	战士半肉流	无尽大杀四方、旋转至胜、大力、邦！、重量级打击手、全凭身法、渴血、最终形态	掘道钻头、荧尘、焚天、水银之靴、三相之力、兰顿之兆、千变者贾修、荆棘之甲	E突进接Q破甲，再开R转圈击飞多人打满控制。；用W分身骗出关键技能或假撤退，再回头反打。；两段R分开用：第一段开团，第二段追击或补控。	社区采集	26.16
千珏	暴击攻速流	升级：无尽之刃、更万用的瞄准镜、双刀流、暴击律动、灵巧、连拨击锤、巨人杀手、最万用的瞄准镜	短剑、狂战士胫甲、收集者、破败王者之刃、水银弯刀、不朽盾弓、饮血剑、智慧末刃	破败王者之刃减速风筝，E三下触发爆发后收集者收头。；W领域内Q快速冷却，频繁翻滚调整输出位置。；不朽盾弓低血量护盾兜底，R无敌圈团战保队友。	社区采集	26.16
璐璐	法术治疗护盾流	急救用具、全心为你、咏叹奏鸣、喂呜喂呜、灵魄炸弹、天音爆、神圣干预、信念者的强化	生命药水、女神之泪、班德尔玻璃镜、月石再生器、明朗之靴、耳语头环、灭世者的死亡之帽、莫雷洛秘典	W变羊交给突进刺客，E护盾给被集火的队友。；给主力套E+W加速，触发月石再生器连锁治疗队友。；R给残血前排变大击飞周围敌人，反打或保命。	社区采集	26.16
薇古丝	法术流	尤里卡、术士果汁盒、魔法飞弹、超凡邪恶、巫师式思考、升级：中娅、穿针引线、无限循环往复	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、女妖面纱、虚空之杖、蜕生	被动恐惧打断敌方位移，W恐惧圈贴脸控住突进英雄。；R命中残血后二段突进贴脸，接W恐惧+Q爆发。；卢登的回声溅射消耗，风暴狂涌补残血爆发。	社区采集	26.16
贝蕾亚	战士半肉流	渴血、秘术冲拳、罪恶快感、无尽大杀四方、升级：无尽之刃、全凭身法、大力、穿针引线	掘道钻头、荧尘、焚天、水银之靴、星蚀、千变者贾修、荆棘之甲、败魔	开W狂暴前先用Q选定突进目标，避免乱咬最近敌人。；狂暴中用E蓄满吼叫打断并击退、回血，再重新进场。；星蚀两段触发护盾，贾修叠满后站场反打。	社区采集	26.16
锤石	坦克流	坦克引擎、钢化你心、歌利亚巨人、重量级打击手、星界躯体、吞噬灵魂、巨像的勇气、扇巴掌	巨人腰带、女神之泪、心之钢、水银之靴、凛冬之临、兰顿之兆、千变者贾修、智慧末刃	钩中后接E把目标拉近，普攻触发心之钢被动叠层。；凛冬之临靠控制触发护盾，先Q钩住再接E减速，落地前开W保护自己。；灯笼丢向被集火的队友，配合吞噬灵魂强化回血。	社区采集	26.16
纳尔	坦克流	坦克引擎、飞身踢、钢化你心、重量级打击手、歌利亚巨人、星界躯体、大力、连拨击锤	巨人腰带、红水晶、心之钢、水银之靴、智慧末刃、深渊面具、死亡之舞、斯特拉克的挑战护手	变身前用Q远程骚扰叠怒气，快满时留E跳入人群再接R。；变身大纳尔后贴脸普攻多个敌人，触发心之钢叠层。；智慧末刃普攻回血，团战站前排吸收伤害。	社区采集	26.16
奎因	暴击流	暴击飞弹、升级：无尽之刃、双发快射、双刀流、连拨击锤、灵巧、暴击律动、更万用的瞄准镜	鞋子、锯齿短匕、收集者、狂战士胫甲、无尽之刃、夜之锋刃、电震涡流剑、水银弯刀	用E贴脸触发被动标记，接普攻打出高额暴击伤害。；夜之锋刃挡关键控制，开团前先开R找落单脆皮。；收集者负责收割残血，Q致盲近战突进后再反打。	社区采集	26.16
卡莉丝塔	攻速特效流	更万用的瞄准镜、双刀流、暴击律动、灵巧、踢踏舞、升级：无尽之刃、连拨击锤、台风	短剑、狂战士胫甲、破败王者之刃、鬼索的狂暴之刃、兰顿之兆、水银弯刀、不朽盾弓、幻影之舞	E拔矛是核心，普攻叠几根矛再拔，击杀后返还冷却继续叠。；利用被动跳跃风筝，每次普攻后立刻侧跳躲技能。；破败加鬼索叠攻速，普攻叠矛越叠越快。	社区采集	26.16
派克	战士穿甲流	暗影疾奔、夜狩、全凭身法、牙仙子、罪恶快感、飞升仪式、吞噬灵魂、大力	鞋子、锯齿短匕、狂妄、水银之靴、公理圆弧、兰顿之兆、钢铁烈阳之匣、狂徒铠甲	R斩杀刷新，公理圆弧让R更快转好持续收割。；开团前先按钢铁烈阳之匣给队友护盾。；W潜行绕后E晕，钩回关键目标交给队友集火。	社区采集	26.16
古拉加斯	坦克流	坦克引擎、钢化你心、歌利亚巨人、虚幻武器、星界躯体、重量级打击手、扇巴掌、术士果汁盒	万世催化石、时光之杖、水银之靴、振奋盔甲、灭世者的死亡之帽、中娅沙漏、亡者的板甲、莫雷洛秘典	W饮酒减伤并强化普攻，进场前先按W顶伤害。；E撞入人群，R把后排炸散配合队友集火。；莫雷洛秘典挂重伤，Q桶子命中多人削减治疗。	社区采集	26.16
泽丽	暴击攻速流	升级：无尽之刃、踢踏舞、暴击律动、更万用的瞄准镜、巨人杀手、灵巧、连拨击锤、台风	暴风之剑、育恩塔尔荒野箭、狂战士胫甲、卢安娜的飓风、玛莫提乌斯之噬、水银弯刀、鬼索的狂暴之刃、不朽盾弓	卢安娜的飓风让Q分裂，配合R连锁同时打多人。；鬼索的狂暴之刃叠攻速，Q输出越打越快。；E穿墙拉扯，被动偷取护盾克制带盾英雄。	社区采集	26.16
安妮	法术流	尤里卡、术士果汁盒、超凡邪恶、魔法飞弹、升级：中娅、巫师式思考、无限循环往复、纯粹主义者 - 术师	复用型药水、遗失的章节、残疫、法师之靴、风暴狂涌、虚空之杖、星界驱驰、女妖面纱	攒满被动眩晕，R召唤提伯斯砸晕多人开团。；眩晕接QW一套秒脆皮，风暴狂涌触发额外爆发。；残疫强化大招区域伤害，R砸人群后提伯斯持续灼烧。	社区采集	26.16
艾翁	法术治疗护盾流	急救用具、全心为你、咏叹奏鸣、天音爆、喂呜喂呜、灵魄炸弹、仁慈打击、信念者的强化	女神之泪、班德尔玻璃镜、月石再生器、明朗之靴、耳语头环、莫雷洛秘典、灭世者的死亡之帽、骑士之誓	E护盾套给前排，月石再生器连锁治疗全队。；Q定身让队友突进，接E护盾保护进场者。；R召唤小菊抗伤害，团战让它在前面挡技能。	社区采集	26.16
亚托克斯	战士穿甲流	渴血、最终形态、无尽大杀四方、大力、罪恶快感、吞噬灵魂、贪欲束缚、扇巴掌	鞋子、考尔菲德的战锤、狂妄、水银之靴、星蚀、无穷饥渴、赛瑞尔达的怨恨、斯特拉克的挑战护手	Q三段甜点命中回血，E调整走位保证命中。；狂妄靠击杀叠层增强输出，连杀后Q伤害更猛。；斯特拉克的挑战护手保命，残血触发护盾顶住反打。	社区采集	26.16
阿兹尔	法术攻速特效流	神射法师、术士果汁盒、灵巧、魔法飞弹、超凡邪恶、尤里卡、双生火焰、巨人杀手	鞋子、反曲之弓、增幅典籍、纳什之牙、法师之靴、影焰、裂隙制造者、虚空之杖	主出纳什之牙与影焰，沙兵戳刺叠加裂隙制造者的持续增伤再跟Q。；保持距离风筝，沙兵输出范围长，站位留在队友身后用R推开突进。；Q把沙兵推进敌方后排持续戳刺，E留作逃生，别贸然交E进场。	社区采集	26.16
潘森	战士半肉流	大力、无尽大杀四方、渴血、飞升仪式、扳机炼狱、回归基本功、罪恶快感、魔法转物理	鞋子、考尔菲德的战锤、星蚀、水银之靴、焚天、兰顿之兆、千变者贾修、自然之力	用Q蓄力消耗，攒满被动后W晕住接强化普攻，打出星蚀护盾与伤害。；E朝敌方技能方向举盾挡伤害，挡完再W进场打一套，别先手交E。；半肉可R先手开团，落地W晕脆皮，E拖住对方集火等队友跟上。	社区采集	26.16
塔莉垭	法术流	术士果汁盒、魔法飞弹、超凡邪恶、尤里卡、回归基本功、炼狱导管、巫师式思考、升级：中娅	复用型药水、遗失的章节、卢登的回声、法师之靴、影焰、女妖面纱、虚空之杖、莫雷洛秘典	用W把敌人抬向E撒石阵，落地接Q五连石，打出影焰与卢登的爆发。；站位靠后用Q远距离消耗，注意脚下已开掘的地面，换位置再Q避免减伤。；女妖面纱挡关键控制，被集火时按下中娅保命，等队友反打。	社区采集	26.16
艾尼维亚	半肉法坦流	冰寒、精怪魔法、术士果汁盒、魔法飞弹、炼狱导管、超凡邪恶、由心及物、地形专家	爆裂魔杖、复用型药水、女神之泪、时光之杖、大天使之杖、法师之靴、荆棘之甲、虚空之杖	时光与大天使提供蓝量与坦度，R铺在兵线前清线并冻住进场敌人。；半肉可前压开W挡路，荆棘之甲反伤近战，E补冻住目标双倍伤害。；站前排用R持续减速，等敌人冲进来E打双倍，再缩回队友身后。	社区采集	26.16
泰隆	战士半肉流	牙仙子、大力、穿针引线、最终形态、杀戮时间到了、暗影疾奔、罪恶快感、魔法转物理	长剑、考尔菲德的战锤、星蚀、水银之靴、焚天、水银弯刀、冰霜之心、千变者贾修	半肉出装进场更稳，W-Q-R打满被动流血后仍能站住输出。；星蚀与焚天提供护盾和治疗，Q贴脸对拼时先触发星蚀减伤。；水银弯刀解控，切入后看时机开R隐身撤离，等冷却二次进场。	社区采集	26.16
斯卡纳	坦克流	坦克引擎、钢化你心、飞身踢、重量级打击手、星界躯体、歌利亚巨人、升级：献祭、黎明使者的坚决	巨人腰带、女神之泪、心之钢、水银之靴、凛冬之临、霸王血铠、深渊面具、骑士之誓	心之钢普攻叠层，Q夹起石块砸向敌人减速，再接R拖拽。；R可一次拖拽多个敌人，开团时冲进人群把敌方核心拖回己方集火。；凛冬之临与深渊面具补蓝量与魔抗，站前排吃伤害，霸王血铠反伤。	社区采集	26.16
蔚	战士半肉流	坦克引擎、飞身踢、钢化你心、重量级打击手、无尽大杀四方、大力、歌利亚巨人、渴血	掘道钻头、荧尘、焚天、水银之靴、星蚀、千变者贾修、无尽之刃、无穷饥渴	Q蓄满冲进后排接R锁定脆皮，打满W三环破甲，配合星蚀爆发。；R命中后接普攻与E重置普攻快速叠三环，无尽之刃放大暴击伤害。；半肉可先手开团，R锁定后站桩打三环，千变者贾修扛伤等队友补伤害。	社区采集	26.16
李青	战士半肉流	穿针引线、牙仙子、大力、无尽大杀四方、渴血、飞升仪式、扳机炼狱、暗影疾奔	长剑、考尔菲德的战锤、星蚀、水银之靴、焚天、千变者贾修、兰顿之兆、亡者的板甲	Q命中后二段Q进场，接R神龙摆尾把脆皮踢回队友面前集火。；W摸队友位移逃生，切入后开E减速，再R踢关键目标。；半肉可先手开团，千变者贾修扛伤，Q二段留着斩杀残血。	社区采集	26.16
魔腾	战士半肉流	牙仙子、升级：收集者、最终形态、穿针引线、罪恶快感、升级：无尽之刃、大力、渴血	复用型药水、提亚马特、挺进破坏者、水银之靴、海克斯注力刚壁、饮血剑、千变者贾修、凡性的提醒	R飞脆皮，落地Q命中加速追E恐惧，挺进破坏者主动减速留人。；W法术护盾挡关键控制再进场，千变者贾修提供续航站桩输出。；半肉进场贴住后排，凡性的提醒针对回血坦克，Q冷却好就丢。	社区采集	26.16
厄加特	战士半肉流	踢踏舞、重量级打击手、更万用的瞄准镜、黎明使者的坚决、高压锅、渴血、亮出你的剑、泰坦的坚决	鞋子、净蚀、心之钢、水银之靴、黑色切割者、无终恨意、兰顿之兆、无穷饥渴	开W持续攻击叠黑切破甲，绕圈触发六条腿被动输出。；心之钢叠层配合无终恨意治疗，站前排扛伤同时持续输出。；E背摔近身敌人，Q减速后R处决残血，配合队友集火。	社区采集	26.16
卡兹克	物理流	牙仙子、穿针引线、升级：收集者、飞升仪式、大力、暗影疾奔、最终形态、罪恶快感	女神之泪、锯齿短匕、狂妄、明朗之靴、魔宗、千变者贾修、败魔、亡者的板甲	魔宗叠蓝量提升Q伤害，优先打孤立目标爆发。；半肉出装能扛，E进场打一套后R隐身，等技能冷却再上。；亡者的板甲与败魔提供移速和魔抗，绕后切脆皮后安全撤离。	社区采集	26.16
拉莫斯	坦克流	坦克引擎、钢化你心、飞身踢、重量级打击手、歌利亚巨人、星界躯体、升级：献祭、高压锅	红水晶、复用型药水、棘刺背心、荆棘之甲、水银之靴、千变者贾修、班德尔音管、骑士之誓	开W尖刺防御再Q冲进人堆，靠荆棘之甲反伤普攻输出。；E嘲讽控住敌方突进，骑士之誓绑定核心输出保命。；拿到坦克引擎时加速滚进人群，R地动山摇打乱阵型。	社区采集	26.16
雷恩加尔	战士半肉流	藏身草丛、大力、牙仙子、穿针引线、升级：收集者、升级：无尽之刃、飞升仪式、暗影疾奔	长剑、锯齿短匕、心之钢、水银之靴、焚天、破舰者、凡性的提醒、兰顿之兆	心之钢叠血后近身换血，破舰者强化单带拆塔。；焚天配合跳击打出回血，残血反打再开W硬抗。；凡性的提醒克制高回复前排，跳进去先打坦克破甲。	社区采集	26.16
丽桑卓	法术流	术士果汁盒、升级：中娅、尤里卡、超凡邪恶、魔法飞弹、冰寒、牙仙子、巫师式思考	复用型药水、遗失的章节、残疫、法师之靴、中娅沙漏、女妖面纱、虚空之杖、蜕生	E进场后W定身，R冻住关键输出或冻自己保命。；残疫配Q快速清线叠层，团战前先消耗压低血线。；拿到升级：中娅时先R自己再接中娅，拖住敌方集火。	社区采集	26.16
卡西奥佩娅	半肉法坦流	术士果汁盒、炼狱导管、魔法飞弹、超凡邪恶、冰寒、由心及物、尤里卡、无限循环往复	爆裂魔杖、复用型药水、女神之泪、时光之杖、法师之靴、兰德里的折磨、中娅沙漏、虚空之杖	时光之杖先叠血量，半肉站位更靠前持续E消耗。；兰德里的折磨持续灼烧，Q接E多触发百分比伤害。；中娅沙漏留给被集火时，等队友反打。	社区采集	26.16
艾希	暴击攻速流	暴击飞弹、狙神飞星、双发快射、双刀流、灵巧、升级：无尽之刃、更万用的瞄准镜、暴击律动	暴风之剑、育恩塔尔荒野箭、狂战士胫甲、卢安娜的飓风、水银弯刀、残疫、不朽盾弓、智慧末刃	W万箭齐发先手减速，Q叠满后飓风溅射AOE输出。；R魔法水晶箭远距开团，命中后集火被晕目标。；拿到双发快射时普攻连射，配合暴击飞弹清前排。	社区采集	26.16
锐雯	战士半肉流	狂徒豪气、全凭身法、暗影疾奔、牙仙子、无尽大杀四方、大力、旋转至胜、渴血	鞋子、考尔菲德的战锤、星蚀、水银之靴、焚天、兰顿之兆、千变者贾修、荆棘之甲	光速QA取消后摇，E护盾顶伤害进场换血。；焚天回血配合护盾残局反打，别先手吃满爆发。；星蚀触发护盾后接Q突进，贴脸打脆皮。	社区采集	26.16
黛安娜	坦克流	术士果汁盒、虚幻武器、渴血、超凡邪恶、牙仙子、尤里卡、升级：中娅、巫师式思考	巨人腰带、红水晶、心之钢、水银之靴、无终恨意、灭世者的死亡之帽、影焰、中娅沙漏	心之钢叠血后站前排，Q消耗E进场黏人。；无终恨意提供回血，R拉住多人打乱阵型。；中娅沙漏拖时间等技能CD，进场别急着死。	社区采集	26.16
妮蔻	法术流	尤里卡、魔法飞弹、升级：中娅、术士果汁盒、超凡邪恶、老练狙神、巫师式思考、残忍	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、女妖面纱、虚空之杖、莫雷洛秘典	R盛开先手进场，圈到多人后接Q打满爆发。；E缠绕命中后用Q输出，配合卢登弹射AOE。；W分身骗技能，掩护自己绕后放大招。	社区采集	26.16
尼菈	暴击流	升级：无尽之刃、渴血、罪恶快感、珠光护手、大力、牙仙子、最终形态、升级：收集者	鞋子、锯齿短匕、收集者、狂战士胫甲、无尽之刃、水银弯刀、振奋盔甲、死亡之舞	Q范围普攻配暴击，E滑进人群打AOE。；R拉回多人后接Q，收集者处决残血。；拿到渴血时进场吸血，残血别先手硬上。	社区采集	26.16
沃里克	攻速特效流	坦克引擎、飞身踢、钢化你心、重量级打击手、渴血、无尽大杀四方、歌利亚巨人、星界躯体	掘道钻头、荧尘、焚天、水银之靴、破败王者之刃、千变者贾修、冰霜之心、水银弯刀	破败王者之刃触发攻速特效，Q叠层持续吸血。；冰霜之心减速近战，W追残血开团。；千变者贾修撑坦度，站桩普攻越打越肉。	社区采集	26.16
纳亚菲利	战士穿甲流	牙仙子、穿针引线、最终形态、暗影疾奔、渴血、炽燃利息、大力、罪恶快感	长剑、锯齿短匕、狂妄、水银之靴、星蚀、炼金朋克链锯剑、斯特拉克的挑战护手、玛莫提乌斯之噬	星蚀命中后给护盾，打一套W+Q+E后立即拉开，等下一轮再上。；斯特拉克的挑战护手触发时反打，战士流出装更耐打可多换血。；残血时用玛莫提乌斯之噬的护盾保命，靠狼群追击收割。	社区采集	26.16
佐伊	法术流	尤里卡、魔法飞弹、术士果汁盒、牙仙子、杀戮时间到了、暗影疾奔、沃格勒特的巫师帽、超凡邪恶	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、女妖面纱、虚空之杖、中娅沙漏	R折返跃迁拉长飞星射程，Q甩到最远再命中，伤害更高。；E气泡睡到人后接满蓄Q加被动平A，配合卢登回声爆发。；拿到沃格勒特的巫师帽后大招转得快，频繁用R探草与拉Q。	社区采集	26.16
奇亚娜	穿甲流	牙仙子、全凭身法、暗影疾奔、大力、质变：棱彩阶、罪恶快感、超负荷、魔法转物理	长剑、锯齿短匕、狂妄、明朗之靴、公理圆弧、无穷饥渴、死亡之舞、炼金朋克链锯剑	优先抓水元素，Q命中后二次Q补伤害，穿插被动平A。；开R把多人推向墙体触发晕眩，配合队友集火秒杀。；公理圆弧减大招冷却，击杀后快速转好R反复开团。	社区采集	26.16
扎克	法术流	坦克引擎、飞身踢、钢化你心、星界躯体、重量级打击手、歌利亚巨人、升级：献祭、虚幻武器	鞋子、海克斯科技发电机、风暴狂涌、法师之靴、影焰、败魔、荆棘之甲、蜕生	E跳入接R弹跳，风暴狂涌与影焰对脆皮瞬间打残。；法术流偏脆，落地后靠蜕生回血与败魔抗法，别贪伤害。	社区采集	26.16
努努和威朗普	坦克流	坦克引擎、飞身踢、歌利亚巨人、钢化你心、星界躯体、术士果汁盒、重量级打击手、超凡邪恶	守护者号角、女神之泪、心之钢、水银之靴、振奋盔甲、莫雷洛秘典、原生质护带、千变者贾修	W进场开R吃伤害，心之钢叠层越打越肉。；振奋盔甲强化Q吞噬回血，团战中持续赖线吸引火力。	社区采集	26.16
洛克	法术流	牙仙子、暗影疾奔、渴血、罪恶快感、最终形态、质变：棱彩阶、利刃华尔兹、狂徒豪气	鞋子、海克斯科技发电机、巫妖之祸、法师之靴、影焰、女妖面纱、虚空之杖、蜕生	暂无	社区采集	26.16
乐芙兰	法术流	术士果汁盒、尤里卡、牙仙子、超凡邪恶、暗影疾奔、巫师式思考、升级：中娅、无限循环往复	复用型药水、遗失的章节、卢登的回声、法师之靴、风暴狂涌、女妖面纱、中娅沙漏、星界驱驰	W进场接Q与E打出印记，触发伤害后立即W二段撤回。；风暴狂涌收残血，用R复制W双段位移来回戏耍敌人。；女妖面纱挡控制，中娅沙漏躲关键技能保命。	社区采集	26.16
洛	法术流	坦克引擎、钢化你心、星界躯体、飞身踢、重量级打击手、歌利亚巨人、升级：献祭、吞噬灵魂	复用型药水、遗失的章节、残疫、法师之靴、影焰、自然之力、败魔、振奋盔甲	法术流W+R进场输出一套，靠E位移保命。；残疫与影焰提升技能爆发，但别脱离队友太远。	社区采集	26.16
克烈	半肉坦克流	重量级打击手、无尽大杀四方、大力、罪恶快感、黎明使者的坚决、高压锅、泰坦的坚决、战争交响乐	巨人腰带、红水晶、心之钢、水银之靴、巨型九头蛇、智慧末刃、兰顿之兆、自然之力	心之钢叠层，巨型九头蛇强化普攻，站桩持续输出。；下马后别慌，靠勇气值与吸血反打重新上马。	社区采集	26.16
凯南	法术流	术士果汁盒、升级：中娅、牙仙子、杀戮时间到了、超凡邪恶、尤里卡、魔法飞弹、巫师式思考	鞋子、海克斯科技发电机、海克斯科技火箭腰带、法师之靴、中娅沙漏、虚空之杖、女妖面纱、莫雷洛秘典	海克斯科技火箭腰带突进接R万雷天牢，覆盖多人叠印记。；叠满三层印记晕眩敌人，Q与W远程消耗补充控制。；进场开大后立刻开中娅沙漏，金身扛住集火。	社区采集	26.16
伊莉丝	坦克流	术士果汁盒、神射法师、尤里卡、穿针引线、牙仙子、渴血、超凡邪恶、巫师式思考	巨人腰带、红水晶、心之钢、水银之靴、振奋盔甲、虚空之杖、破败王者之刃、亡者的板甲	坦克流靠心之钢叠层，蜘蛛形态站桩咬人叠被动。；振奋盔甲强化蜘蛛形态回血，团战更持久。；破败王者之刃提供持续输出，黏住前排削血。	社区采集	26.16
奎桑提	坦克流	坦克引擎、重量级打击手、钢化你心、星界躯体、歌利亚巨人、狂徒豪气、蛋白粉奶昔、无尽大杀四方	巨人腰带、红水晶、心之钢、水银之靴、冰脉护手、原生质护带、骑士之誓、深渊面具	心之钢近身普攻叠血，先手进场用 W 格挡控制再反击。；用 E 位移贴队友刷盾保护后排，冰脉护手强化的普攻减速留人。；开 R 全开前等队友就位，变身后优先切入敌方脆皮。	社区采集	26.16
雷克塞	坦克流	重量级打击手、无尽大杀四方、黎明使者的坚决、旋转至胜、高压锅、大力、吞噬灵魂、泰坦的坚决	巨人腰带、红水晶、心之钢、水银之靴、无终恨意、死亡之舞、斯特拉克的挑战护手、深渊面具	地底 Q 探明草丛敌人后 W 破土击飞开团，先手顶住集火。；心之钢触发时贴脸普攻叠血，无终恨意周期性回血抗压。；残血用 R 锁定敌方后排追击，深渊面具降低身边敌人魔抗。	社区采集	26.16
雷克顿	战士半肉流	旋转至胜、无尽大杀四方、最终形态、渴血、大力、黎明使者的坚决、秘术冲拳、重量级打击手	掘道钻头、荧尘、焚天、水银之靴、死亡之舞、千变者贾修、亡者的板甲、兰顿之兆	叠满怒气再进场，满怒 W 连击眩晕集火目标。；焚天强化普攻配合 Q 回血，E 二段切入后留一段离场。；开 R 变大抗爆发，千变者贾修叠满后持续回血站住前排。	社区采集	26.16
奥拉夫	战士半肉流	罪恶快感、渴血、最终形态、无尽大杀四方、大力、秘术冲拳、重量级打击手、黎明使者的坚决	复用型药水、提亚马特、挺进破坏者、水银之靴、海克斯注力刚壁、兰顿之兆、冰霜之心、亡者的板甲	低血量时攻速更快，开 R 免控直冲敌方后排别被风筝。；挺进破坏者主动减速留人，Q 捡斧减冷却连续投掷黏人。；E 真实伤害打前排，亡者的板甲加速配合 R 免控直冲后排。	社区采集	26.16
伊芙琳	法术流	术士果汁盒、牙仙子、超凡邪恶、尤里卡、暗影疾奔、巫师式思考、虚幻武器、全凭身法	鞋子、海克斯科技发电机、卢登的回声、法师之靴、风暴狂涌、星界驱驰、虚空之杖、中娅沙漏	被动隐身绕后找角度，W 挂魅惑等其成形再 E 触发。；Q 起手接 E 打满，卢登回声溅射配风暴狂涌秒脆皮。；R 处决残血并后撤脱身，别在无隐身时正面强开。	社区采集	26.16
